timestamp,temperature_c,humidity_percent,fog_detected,image_filename,dehazed_filename,processing_time_ms
2026-05-07 15:01:49,22.5,94.2,True,img_20260507_150149.jpg,dehazed_20260507_150149.jpg,109
2026-05-07 15:21:24,22.5,94.2,True,img_20260507_152124.jpg,dehazed_20260507_152124.jpg,103
2026-05-08 00:17:37,22.5,94.2,True,img_20260508_001737.jpg,dehazed_20260508_001737.jpg,106,6.918,7.221,0.303,0.88
2026-05-08 00:19:14,22.5,94.2,True,img_20260508_001914.jpg,dehazed_20260508_001914.jpg,21,6.918,7.221,0.303,0.88
2026-05-08 09:55:08,22.5,94.2,True,img_20260508_095508.jpg,dehazed_20260508_095508.jpg,134,6.918,7.221,0.303,0.88
2026-05-08 10:09:41,22.5,94.2,True,img_20260508_100941.jpg,dehazed_20260508_100941.jpg,106,6.918,7.221,0.303,0.88
2026-05-08 10:42:27,22.5,94.2,True,img_20260508_104227.jpg,dehazed_20260508_104227.jpg,113,6.918,7.221,0.303,0.88,0.0
2026-05-08 10:46:06,22.5,94.2,True,img_20260508_104606.jpg,dehazed_20260508_104606.jpg,1973,7.166,7.644,0.478,0.859,0.0
2026-05-08 11:12:44,22.5,94.2,True,img_20260508_111244.jpg,dehazed_20260508_111244.jpg,62,6.918,7.221,0.303,0.88,0.0
2026-05-08 11:15:16,22.5,94.2,True,img_20260508_111516.jpg,dehazed_20260508_111516.jpg,12,6.653,7.19,0.537,0.69,0.0
2026-05-08 11:15:59,22.5,94.2,True,img_20260508_111559.jpg,dehazed_20260508_111559.jpg,12,7.089,7.261,0.173,0.861,0.0
2026-05-08 11:16:26,22.5,94.2,True,img_20260508_111626.jpg,dehazed_20260508_111626.jpg,13,6.918,7.221,0.303,0.88,0.0
2026-06-11 15:24:39,31.0,58.7,False,img_20260611_152439.jpg,dehazed_20260611_152439.jpg,376,6.735,7.552,0.817,0.549,0.0
2026-06-11 15:25:02,31.0,59.7,False,img_20260611_152502.jpg,dehazed_20260611_152502.jpg,283,7.535,7.861,0.326,0.776,0.0
2026-06-11 15:25:14,31.1,59.2,False,img_20260611_152514.jpg,dehazed_20260611_152514.jpg,243,7.659,7.915,0.256,0.805,0.0
2026-06-11 15:25:37,31.1,59.0,False,img_20260611_152537.jpg,dehazed_20260611_152537.jpg,251,7.672,7.812,0.14,0.705,0.0
2026-06-11 15:25:49,31.1,59.1,False,img_20260611_152549.jpg,dehazed_20260611_152549.jpg,262,7.507,7.76,0.253,0.731,0.0
2026-06-11 15:26:01,31.1,58.8,False,img_20260611_152601.jpg,dehazed_20260611_152601.jpg,243,7.801,7.877,0.076,0.761,0.0
2026-06-11 15:26:14,31.0,58.7,False,img_20260611_152614.jpg,dehazed_20260611_152614.jpg,262,7.754,7.861,0.107,0.758,0.0
2026-06-11 15:26:26,30.9,58.7,False,img_20260611_152626.jpg,dehazed_20260611_152626.jpg,243,7.778,7.861,0.083,0.753,0.0
2026-06-11 15:26:39,30.8,58.5,False,img_20260611_152639.jpg,dehazed_20260611_152639.jpg,265,7.812,7.87,0.058,0.76,0.0
2026-06-11 15:26:51,30.7,58.6,False,img_20260611_152651.jpg,dehazed_20260611_152651.jpg,255,7.737,7.867,0.13,0.746,0.0
2026-06-11 15:27:05,30.6,58.9,False,img_20260611_152705.jpg,dehazed_20260611_152705.jpg,282,7.74,7.863,0.123,0.746,0.0
2026-06-11 15:27:17,30.5,59.2,False,img_20260611_152717.jpg,dehazed_20260611_152717.jpg,247,7.755,7.874,0.12,0.749,0.0
2026-06-11 15:27:30,30.3,59.5,False,img_20260611_152730.jpg,dehazed_20260611_152730.jpg,238,7.602,7.826,0.224,0.742,0.0
2026-06-11 15:27:42,30.3,59.8,False,img_20260611_152742.jpg,dehazed_20260611_152742.jpg,233,7.736,7.854,0.118,0.748,0.0
2026-06-11 15:27:54,30.2,60.1,False,img_20260611_152754.jpg,dehazed_20260611_152754.jpg,238,7.734,7.862,0.128,0.746,0.0
2026-06-11 15:28:06,30.1,60.3,False,img_20260611_152806.jpg,dehazed_20260611_152806.jpg,247,7.747,7.857,0.11,0.746,0.0
2026-06-11 15:28:19,30.1,60.6,False,img_20260611_152819.jpg,dehazed_20260611_152819.jpg,283,7.79,7.882,0.092,0.746,0.0
2026-06-11 15:28:31,30.1,60.7,False,img_20260611_152831.jpg,dehazed_20260611_152831.jpg,233,7.756,7.877,0.121,0.746,0.0
2026-06-11 15:28:43,30.0,60.9,False,img_20260611_152843.jpg,dehazed_20260611_152843.jpg,251,7.75,7.881,0.131,0.742,0.0
2026-06-11 15:28:55,30.0,61.0,False,img_20260611_152855.jpg,dehazed_20260611_152855.jpg,236,7.767,7.886,0.12,0.749,0.0
2026-06-11 15:29:08,30.0,61.1,False,img_20260611_152908.jpg,dehazed_20260611_152908.jpg,257,7.766,7.875,0.108,0.736,0.0
2026-06-11 15:29:20,29.9,61.2,False,img_20260611_152920.jpg,dehazed_20260611_152920.jpg,265,7.699,7.844,0.145,0.741,0.0
2026-06-11 15:29:32,29.9,61.5,False,img_20260611_152932.jpg,dehazed_20260611_152932.jpg,238,7.707,7.881,0.173,0.768,0.0
2026-06-11 15:29:45,29.9,61.7,False,img_20260611_152945.jpg,dehazed_20260611_152945.jpg,247,7.64,7.92,0.28,0.797,0.0
2026-06-11 15:29:57,29.9,62.0,False,img_20260611_152957.jpg,dehazed_20260611_152957.jpg,245,7.661,7.913,0.252,0.793,0.0
2026-06-11 15:30:09,29.9,61.9,False,img_20260611_153009.jpg,dehazed_20260611_153009.jpg,254,7.64,7.911,0.271,0.797,0.0
2026-06-11 15:30:22,29.9,62.0,False,img_20260611_153022.jpg,dehazed_20260611_153022.jpg,253,7.632,7.904,0.273,0.797,0.0
2026-06-11 15:30:34,29.9,62.0,False,img_20260611_153034.jpg,dehazed_20260611_153034.jpg,242,7.639,7.905,0.266,0.791,0.0
2026-06-11 15:30:46,29.9,62.0,False,img_20260611_153046.jpg,dehazed_20260611_153046.jpg,246,7.657,7.909,0.252,0.795,0.0
2026-06-11 15:30:59,29.9,62.1,False,img_20260611_153059.jpg,dehazed_20260611_153059.jpg,255,7.623,7.911,0.288,0.796,0.0
2026-06-11 15:31:11,29.9,62.1,False,img_20260611_153111.jpg,dehazed_20260611_153111.jpg,244,7.687,7.928,0.241,0.815,0.0
2026-06-11 15:31:23,29.9,62.2,False,img_20260611_153123.jpg,dehazed_20260611_153123.jpg,275,7.703,7.911,0.208,0.792,0.0
2026-06-11 15:31:36,29.9,62.2,False,img_20260611_153136.jpg,dehazed_20260611_153136.jpg,254,7.707,7.916,0.209,0.797,0.0
2026-06-11 15:31:48,29.9,62.2,False,img_20260611_153148.jpg,dehazed_20260611_153148.jpg,246,7.729,7.933,0.205,0.802,0.0
2026-06-11 15:32:00,29.9,62.3,False,img_20260611_153200.jpg,dehazed_20260611_153200.jpg,247,7.725,7.927,0.202,0.806,0.0
2026-06-11 15:32:12,29.9,62.3,False,img_20260611_153212.jpg,dehazed_20260611_153212.jpg,237,7.744,7.923,0.179,0.801,0.0
2026-06-11 15:32:24,29.9,62.4,False,img_20260611_153224.jpg,dehazed_20260611_153224.jpg,240,7.729,7.931,0.202,0.81,0.0
2026-06-11 15:32:37,29.9,62.5,False,img_20260611_153237.jpg,dehazed_20260611_153237.jpg,259,7.724,7.922,0.198,0.81,0.0
2026-06-11 15:32:49,29.9,62.5,False,img_20260611_153249.jpg,dehazed_20260611_153249.jpg,249,7.755,7.92,0.165,0.797,0.0
2026-06-11 15:33:01,29.9,62.5,False,img_20260611_153301.jpg,dehazed_20260611_153301.jpg,243,7.71,7.932,0.223,0.807,0.0
2026-06-11 15:33:15,29.9,62.6,False,img_20260611_153315.jpg,dehazed_20260611_153315.jpg,245,7.812,7.929,0.118,0.789,0.0
2026-06-11 15:33:27,29.9,62.6,False,img_20260611_153327.jpg,dehazed_20260611_153327.jpg,263,7.817,7.927,0.11,0.792,0.0
2026-06-11 15:33:40,30.0,62.6,False,img_20260611_153340.jpg,dehazed_20260611_153340.jpg,255,7.788,7.948,0.16,0.797,0.0
2026-06-11 15:33:53,30.0,62.7,False,img_20260611_153353.jpg,dehazed_20260611_153353.jpg,250,7.616,7.882,0.265,0.761,0.0
2026-06-11 15:34:06,30.0,63.0,False,img_20260611_153406.jpg,dehazed_20260611_153406.jpg,244,7.526,7.807,0.281,0.755,0.0
2026-06-11 15:34:18,30.1,62.8,False,img_20260611_153418.jpg,dehazed_20260611_153418.jpg,257,7.547,7.878,0.332,0.76,0.0
2026-06-11 15:34:31,30.2,62.9,False,img_20260611_153431.jpg,dehazed_20260611_153431.jpg,366,7.555,7.851,0.296,0.734,0.0
2026-06-11 15:34:43,30.3,62.4,False,img_20260611_153443.jpg,dehazed_20260611_153443.jpg,221,7.521,7.839,0.319,0.709,0.0
2026-06-11 15:34:55,30.4,62.4,False,img_20260611_153455.jpg,dehazed_20260611_153455.jpg,236,7.658,7.893,0.235,0.737,0.0
2026-06-11 15:35:18,30.7,62.2,False,img_20260611_153518.jpg,dehazed_20260611_153518.jpg,264,7.551,7.874,0.323,0.745,0.0
2026-06-11 15:35:31,30.8,61.7,False,img_20260611_153531.jpg,dehazed_20260611_153531.jpg,228,7.52,7.832,0.312,0.726,0.0
2026-06-11 15:35:43,30.9,61.3,False,img_20260611_153543.jpg,dehazed_20260611_153543.jpg,248,7.505,7.862,0.357,0.741,0.0
2026-06-11 15:35:56,30.9,61.3,False,img_20260611_153556.jpg,dehazed_20260611_153556.jpg,281,7.638,7.871,0.233,0.751,0.0
2026-06-11 15:36:08,31.0,61.3,False,img_20260611_153608.jpg,dehazed_20260611_153608.jpg,257,7.632,7.929,0.298,0.748,0.0
2026-06-11 15:36:21,31.0,61.3,False,img_20260611_153621.jpg,dehazed_20260611_153621.jpg,268,7.6,7.893,0.293,0.752,0.0
2026-06-11 15:36:33,31.1,61.1,False,img_20260611_153633.jpg,dehazed_20260611_153633.jpg,245,7.7,7.925,0.225,0.77,0.0
2026-06-11 15:36:45,31.1,61.1,False,img_20260611_153645.jpg,dehazed_20260611_153645.jpg,273,7.569,7.924,0.355,0.745,0.0
2026-06-11 15:36:58,31.2,60.8,False,img_20260611_153658.jpg,dehazed_20260611_153658.jpg,263,7.656,7.919,0.263,0.765,0.0
2026-06-11 15:37:10,31.3,60.8,False,img_20260611_153710.jpg,dehazed_20260611_153710.jpg,256,7.713,7.932,0.219,0.785,0.0
2026-06-11 15:37:23,31.4,60.9,False,img_20260611_153723.jpg,dehazed_20260611_153723.jpg,242,7.69,7.929,0.239,0.776,0.0
2026-06-11 15:37:35,31.4,60.5,False,img_20260611_153735.jpg,dehazed_20260611_153735.jpg,241,7.615,7.908,0.293,0.756,0.0
2026-06-11 15:37:48,31.5,60.4,False,img_20260611_153748.jpg,dehazed_20260611_153748.jpg,252,7.752,7.892,0.141,0.78,0.0
2026-06-11 15:38:00,31.8,60.4,False,img_20260611_153800.jpg,dehazed_20260611_153800.jpg,243,7.763,7.924,0.161,0.758,0.0
2026-06-11 15:38:12,32.4,59.9,False,img_20260611_153812.jpg,dehazed_20260611_153812.jpg,254,7.637,7.82,0.183,0.76,0.0
2026-06-11 15:38:25,32.6,59.3,False,img_20260611_153825.jpg,dehazed_20260611_153825.jpg,266,7.527,7.875,0.348,0.718,0.0
2026-06-11 15:38:37,32.7,58.3,False,img_20260611_153837.jpg,dehazed_20260611_153837.jpg,240,7.654,7.885,0.231,0.752,0.0
2026-06-11 15:38:50,32.6,57.2,False,img_20260611_153850.jpg,dehazed_20260611_153850.jpg,272,7.735,7.893,0.158,0.745,0.0
2026-06-11 15:39:02,32.5,56.6,False,img_20260611_153902.jpg,dehazed_20260611_153902.jpg,250,7.635,7.874,0.239,0.747,0.0
2026-06-11 15:39:15,32.3,56.7,False,img_20260611_153915.jpg,dehazed_20260611_153915.jpg,251,7.663,7.893,0.23,0.753,0.0
2026-06-11 15:39:27,32.3,56.9,False,img_20260611_153927.jpg,dehazed_20260611_153927.jpg,270,7.664,7.891,0.227,0.758,0.0
2026-06-11 15:39:39,32.2,57.2,False,img_20260611_153939.jpg,dehazed_20260611_153939.jpg,238,7.592,7.846,0.254,0.747,0.0
2026-06-11 15:39:51,32.1,57.7,False,img_20260611_153951.jpg,dehazed_20260611_153951.jpg,243,7.461,7.804,0.343,0.747,0.0
2026-06-11 15:40:04,32.1,58.1,False,img_20260611_154004.jpg,dehazed_20260611_154004.jpg,250,7.462,7.801,0.34,0.748,0.0
